web_name,team,position,form,value,now_cost,predicted_value,projection,Z Score,total_rank
McGoldrick,Sheffield Utd,Forward,3.2,17.115384615384613,5.2,15.569183377124373,80.95975356104674,4.838681874988537,17.0
Lacazette,Arsenal,Forward,0.8,15.238095238095237,8.4,15.378469295715059,129.1791420840065,4.713599765715818,18.0
Maupay,Brighton,Forward,0.8,17.796610169491526,5.9,18.247699206312205,107.66142531724202,4.650446522647,19.0
Jesus,Man City,Forward,2.2,11.868131868131869,9.1,13.552195876765644,123.32498247856736,4.3530233711604485,20.0
Decordova-Reid,Fulham,Forward,2.5,15.283018867924529,5.3,15.212813047197123,80.62790915014475,3.9369931111177214,21.0
Cavani,Man Utd,Forward,3.6,11.25,8.0,11.742680262804178,93.94144210243343,3.910790464752707,22.0
Rodrigo,Leeds,Forward,4.0,13.333333333333332,5.7,12.358042292453543,70.4408410669852,3.8675036206771,23.0
Fabio Silva,Wolves,Forward,3.4,12.5,5.2,12.205860452739634,63.4704743542461,3.059155678657984,24.0
Callum Robinson,West Brom,Forward,1.2,14.807692307692307,5.2,14.718153157712635,76.53439642010571,2.9427100966735567,25.0
Joelinton,Newcastle,Forward,2.2,12.807017543859649,5.7,13.097054204380795,74.65320896497053,2.878648875125919,26.0
Vydra,Burnley,Forward,2.4,12.5,4.8,12.167618296751769,58.40456782440849,2.32651176319843,27.0
Diagne,West Brom,Forward,3.2,9.333333333333334,6.0,10.001704381172697,60.01022628703618,1.9558536487858755,28.0
Martial,Man Utd,Forward,0.0,8.720930232558139,8.6,12.961291224928333,111.46710453438367,1.851498838719957,29.0
Ayew,Crystal Palace,Forward,1.0,12.142857142857144,5.6,12.238828501177569,68.53743960659438,1.8157679999243914,30.0
Mitrović,Fulham,Forward,0.8,11.454545454545455,5.5,11.588820255722778,63.73851140647528,1.345469106281577,31.0
Abraham,Chelsea,Forward,0.4,9.71830985915493,7.1,10.968933095343173,77.87942497693652,1.1509706968202746,32.0
Rodriguez,Burnley,Forward,1.0,9.298245614035087,5.7,9.659830380346095,55.061033167972745,0.5549090223111418,33.0
Maja,Fulham,Forward,3.0,7.647058823529412,5.1,7.133250585028259,36.37957798364412,0.5412574688471794,34.0
Barnes,Burnley,Forward,0.6,8.5,6.0,9.352523404666904,56.115140428001425,0.1522578990990755,35.0
Willian José,Wolves,Forward,2.6,5.4411764705882355,6.8,6.09951569068725,41.4767066966733,-0.10409107401214202,36.0
Nketiah,Arsenal,Forward,1.6,6.7924528301886795,5.3,6.853383199865291,36.32293095928604,-0.4687524527571223,37.0
Giroud,Chelsea,Forward,0.4,6.865671641791044,6.7,7.503976695477354,50.27664385969827,-0.6148498967994763,38.0
McBurnie,Sheffield Utd,Forward,0.0,7.857142857142858,5.6,8.509773121860595,47.654729482419334,-0.6568089537762681,39.0
Agüero,Man City,Forward,2.8,2.7184466019417473,10.3,3.953754464035124,40.72367097956178,-0.7681828738930461,40.0
Brewster,Sheffield Utd,Forward,0.8,7.619047619047619,4.2,7.374300440262632,30.972061849103056,-0.8740553889592807,41.0
Grant,West Brom,Forward,0.4,6.964285714285714,5.6,7.243721936265797,40.564842843088464,-0.9334095418073298,42.0
Batshuayi,Crystal Palace,Forward,0.2,7.192982456140351,5.7,7.245167456062728,41.29745449955755,-0.9549971418702546,43.0
Connolly,Brighton,Forward,0.2,7.115384615384615,5.2,7.1233183324637865,37.041255328811694,-1.1277863243737762,44.0
Haller,West Ham,Forward,0.0,6.721311475409837,6.1,6.955855861302851,42.43072075394739,-1.154671992703302,45.0
Sharp,Sheffield Utd,Forward,0.0,7.090909090909091,5.5,7.076407951146025,38.92024373130314,-1.1781047580703037,46.0
Gayle,Newcastle,Forward,1.5,4.915254237288135,5.9,5.145648133315505,30.35932398656148,-1.251779105473874,47.0
Davis,Aston Villa,Forward,1.8,5.476190476190476,4.2,4.896462539668294,20.565142666606835,-1.2805955825221593,48.0
Jiménez,Wolves,Forward,0.0,5.3086419753086425,8.1,6.075165031379527,49.208836754174165,-1.3014096703040807,49.0
Jebbison,Sheffield Utd,Forward,4.0,1.7777777777777777,4.5,1.8342630181931274,8.254183581869073,-1.519294642796681,50.0
Robson-Kanu,West Brom,Forward,1.4,3.846153846153846,5.2,4.029774194647646,20.954825812167762,-1.9353337039005423,51.0
Carroll,Newcastle,Forward,0.0,5.686274509803922,5.1,5.415459980441262,27.618845900250435,-1.9660850361423021,52.0
Mateta,Crystal Palace,Forward,0.4,2.8301886792452833,5.3,2.856758311365904,15.14081905023929,-2.9736235903883825,53.0
Mousset,Sheffield Utd,Forward,0.4,2.241379310344828,5.8,2.5886516691405697,15.014179681015303,-3.139839220633327,54.0
