web_name,team,position,form,value,now_cost,predicted_value,projection,Z Score,total_rank
Kenny,Everton,Defender,0.0,1.1627906976744187,4.3,1.1582329217750746,4.980401563632821,-4.1097516834259595,158.0
Gibbs,West Brom,Defender,0.0,1.1627906976744187,4.3,1.150238359861233,4.946024947403301,-4.1113786625053335,159.0
Tuanzebe,Man Utd,Defender,0.2,0.7317073170731708,4.1,0.742253475780981,3.0432392507020216,-4.173938331598178,160.0
Williams,Man Utd,Defender,0.2,0.7142857142857143,4.2,0.6892674175532951,2.89492315372384,-4.185146310417406,161.0
Jagielka,Sheffield Utd,Defender,0.0,1.0256410256410258,3.9,0.9375430917465157,3.656418057811411,-4.205386496885929,162.0
Sakho,Crystal Palace,Defender,0.0,0.9090909090909091,4.4,0.8692141469346893,3.8245422465126335,-4.225450225295478,163.0
Valery,Southampton,Defender,0.0,0.6382978723404255,4.7,0.6852581115325371,3.2207131242029248,-4.319131761697452,164.0
Morgan,Leicester,Defender,0.0,0.6818181818181818,4.4,0.674556867971935,2.9680502190765146,-4.3206267536023155,165.0
O'Connell,Sheffield Utd,Defender,0.0,0.6382978723404255,4.7,0.6589195697918235,3.096921978021571,-4.324990558377849,166.0
Mustafi,Arsenal,Defender,0.0,0.6,5.0,0.6555448342469948,3.2777241712349743,-4.325641028803647,167.0
Peltier,West Brom,Defender,0.0,0.5128205128205129,3.9,0.4945197484392032,1.9286270189128925,-4.410450700884614,168.0
Bardsley,Burnley,Defender,0.0,0.45454545454545453,4.4,0.46700042882686027,2.0548018868381854,-4.418489448573122,169.0
Kongolo,Fulham,Defender,0.0,0.46511627906976744,4.3,0.46167242916533857,1.9851914454109558,-4.4192425624014495,170.0
Davis,Leeds,Defender,0.0,0.5263157894736842,3.8,0.43898257569031274,1.6681337876231883,-4.419534839405079,171.0
Kolasinac,Arsenal,Defender,0.0,0.4166666666666667,4.8,0.43216128591057623,2.074374172370766,-4.426669864835954,172.0
Nkounkou,Everton,Defender,0.0,0.25,4.0,0.24321032925594233,0.9728413170237693,-4.518872928098604,173.0
Le Marchand,Fulham,Defender,0.0,0.24390243902439027,4.1,0.23541070430241498,0.9651838876399014,-4.520701301690421,174.0
Buur,Wolves,Defender,0.0,0.25641025641025644,3.9,0.23009388217819127,0.8973661404949459,-4.520903883185635,175.0
Vinagre,Wolves,Defender,0.0,0.24390243902439027,4.1,0.23422671272679846,0.9603295221798736,-4.520931049464151,176.0
Odoi,Fulham,Defender,0.0,0.23809523809523808,4.2,0.23213273824090316,0.9749575006117933,-4.521634889874425,177.0
Vokins,Southampton,Defender,0.0,0.25641025641025644,3.9,0.22497970971496783,0.8774208678883746,-4.521847854548222,178.0
Tsimikas,Liverpool,Defender,0.0,0.2040816326530612,4.9,0.19922940264152617,0.9762240729434782,-4.529752421649228,179.0
Taylor,West Brom,Defender,0.0,0.0,4.0,0.0,0.0,-4.625020085256125,209.0
Alves,West Ham,Defender,0.0,0.0,4.0,0.0,0.0,-4.625020085256125,209.0
Foyth,Spurs,Defender,0.0,0.0,4.3,0.0,0.0,-4.625020085256125,209.0
Marques,Wolves,Defender,0.0,0.0,3.9,0.0,0.0,-4.625020085256125,209.0
Bennett,Wolves,Defender,0.0,0.0,4.4,0.0,0.0,-4.625020085256125,209.0
Sessegnon,Spurs,Defender,0.0,0.0,4.7,0.0,0.0,-4.625020085256125,209.0
Baptiste,West Ham,Defender,0.0,0.0,4.0,0.0,0.0,-4.625020085256125,209.0
Kipre,West Brom,Defender,0.0,0.0,4.3,0.0,0.0,-4.625020085256125,209.0
Carter-Vickers,Spurs,Defender,0.0,0.0,3.9,0.0,0.0,-4.625020085256125,209.0
