web_name,team,position,form,value,now_cost,predicted_value,projection,Z Score,total_rank
Matic,Man Utd,Midfielder,0.8,7.234042553191489,4.7,7.44807208840824,35.005938815518725,-0.8029534275355863,143.0
James,Man Utd,Midfielder,0.6,6.129032258064516,6.2,7.212292770971685,44.71621518002445,-0.8384293977775272,144.0
Alzate,Brighton,Midfielder,0.6,7.8048780487804885,4.1,7.1856533558803415,29.461178759109398,-0.9873157902969342,145.0
Gibbs-White,Wolves,Midfielder,2.8,4.081632653061225,4.9,4.076540489121424,19.97504839669498,-1.051280420879257,146.0
Ødegaard,Arsenal,Midfielder,1.4,5.263157894736842,5.7,5.793329980754005,33.02198089029783,-1.0552351008033132,147.0
Praet,Leicester,Midfielder,0.2,7.115384615384615,5.2,6.993016116093679,36.36368380368713,-1.1410911785645137,148.0
Fraser,Newcastle,Midfielder,0.0,6.964285714285714,5.6,7.091923833666058,39.71477346852993,-1.1695106856993525,149.0
Sawyers,West Brom,Midfielder,0.0,7.173913043478262,4.6,8.206480386285632,37.74980977691391,-1.190376118545146,150.0
Vitinha,Wolves,Midfielder,1.6,5.319148936170213,4.7,5.045391756214758,23.713341254209364,-1.287886505242673,151.0
Diallo,Southampton,Midfielder,0.8,6.444444444444445,4.5,6.2471739703704126,28.112282866666856,-1.289013930184189,152.0
Ramsey,Aston Villa,Midfielder,1.2,6.0,4.5,5.532272235562825,24.895225060032715,-1.2966447231987237,153.0
Lanzini,West Ham,Midfielder,1.0,4.375,6.4,5.955616202097926,38.11594369342673,-1.3342306248690132,154.0
Berge,Sheffield Utd,Midfielder,0.4,6.326530612244897,4.9,6.467553099599765,31.691010188038852,-1.4193396470982167,155.0
van de Beek,Man Utd,Midfielder,1.4,3.9393939393939394,6.6,4.61751516920647,30.475600116762703,-1.5141884279629467,156.0
Lamela,Spurs,Midfielder,0.8,4.912280701754386,5.7,5.31258707883613,30.281746349365942,-1.6181097437082594,157.0
Noble,West Ham,Midfielder,0.5,5.777777777777778,4.5,5.596719470974627,25.18523761938582,-1.7649358729228746,158.0
Jahanbakhsh,Brighton,Midfielder,1.2,4.259259259259259,5.4,4.362256751453986,23.556186457851524,-1.8207926082492494,159.0
McCarthy,Crystal Palace,Midfielder,0.6,5.116279069767442,4.3,5.111127542074985,21.977848430922432,-2.010768710615401,160.0
Livermore,West Brom,Midfielder,0.2,5.319148936170213,4.7,5.642601399543426,26.520226577854103,-2.0161871974775973,161.0
Shaqiri,Liverpool,Midfielder,0.2,4.0625,6.4,5.064789035302714,32.41464982593737,-2.1235593618219823,162.0
Cairney,Fulham,Midfielder,0.0,5.1923076923076925,5.2,5.3078547180881195,27.600844534058222,-2.127723249425203,163.0
Carvalho,Fulham,Midfielder,2.7,1.7777777777777777,4.5,1.863957319360755,8.387807937123398,-2.1926201743967257,164.0
Moder,Brighton,Midfielder,1.4,3.4,5.0,3.1232031275245014,15.616015637622507,-2.2471674021336625,165.0
Hernández,Leeds,Midfielder,0.4,3.8596491228070176,5.7,4.159175622033451,23.707301045590672,-2.402533844233204,166.0
Nakamba,Aston Villa,Midfielder,0.3,4.651162790697675,4.3,4.480980379670515,19.268215632583214,-2.4235388486430685,167.0
Mata,Man Utd,Midfielder,0.4,3.793103448275862,5.8,3.933696114803732,22.815437465861645,-2.455777790081454,168.0
Bernard,Everton,Midfielder,0.4,3.508771929824561,5.7,4.072298270507575,23.21210014189318,-2.5170842610422928,169.0
Winks,Spurs,Midfielder,0.8,3.1372549019607847,5.1,3.336799947335277,17.01767973140991,-2.622577834989758,170.0
Poveda-Ocampo,Leeds,Midfielder,0.8,3.333333333333333,4.2,2.8450695464350324,11.949292095027136,-2.7696964645947144,171.0
Hourihane,Aston Villa,Midfielder,0.0,3.389830508474576,5.9,3.845495091502741,22.688421039866174,-2.809733187170966,172.0
Onomah,Fulham,Midfielder,1.0,2.3913043478260874,4.6,2.4670740456779567,11.3485406101186,-2.9285717982326602,173.0
Yarmolenko,West Ham,Midfielder,0.2,3.090909090909091,5.5,3.097170678014373,17.03443872907905,-2.994108076821141,174.0
Krovinovic,West Brom,Midfielder,0.0,3.4693877551020407,4.9,3.5149355803477245,17.223184343703853,-3.0040721363015948,175.0
Shackleton,Leeds,Midfielder,0.0,3.541666666666667,4.8,3.0855892457791763,14.810828379740045,-3.079792723995171,176.0
Gilmour,Chelsea,Midfielder,1.2,1.8604651162790697,4.3,1.868513789846193,8.03460929633863,-3.083299822214863,177.0
Chamberlain,Liverpool,Midfielder,0.4,2.2222222222222223,6.3,2.777300924529821,17.496995824537873,-3.091127445778866,178.0
Choudhury,Leicester,Midfielder,0.2,3.0434782608695654,4.6,2.9688036394438964,13.656496741441922,-3.1403773000323136,179.0
Ünder,Leicester,Midfielder,0.0,2.807017543859649,5.7,3.0368941046325553,17.310296396405565,-3.179949040413214,180.0
Keita,Liverpool,Midfielder,0.0,2.8846153846153846,5.2,2.917928227706677,15.173226784074721,-3.243355871295435,181.0
Snodgrass,West Brom,Midfielder,0.0,2.5,5.6,2.712043316362371,15.187442571629276,-3.3469179855747706,182.0
Tau,Brighton,Midfielder,0.8,1.4285714285714284,4.9,1.5077615458484595,7.388031574657452,-3.4655261366663126,183.0
Otasowie,Wolves,Midfielder,0.4,2.0,4.5,1.9486462206977766,8.768907993139994,-3.4960471648192764,184.0
Diallo,Man Utd,Midfielder,1.0,0.9259259259259258,5.4,1.2119486417208296,6.54452266529248,-3.515039849316181,185.0
Delph,Everton,Midfielder,0.4,1.6666666666666667,4.8,1.7932983497122423,8.607832078618763,-3.592650148135312,186.0
Benson,Burnley,Midfielder,0.0,2.2727272727272725,4.4,1.9980790884325934,8.791547989103412,-3.6610833712414186,187.0
Matty Longstaff,Newcastle,Midfielder,0.0,2.0833333333333335,4.8,2.0513705610893482,9.84657869322887,-3.6706826708605425,188.0
Sanson,Aston Villa,Midfielder,0.0,1.8181818181818181,5.5,1.975375286719431,10.86456407695687,-3.7022544616981072,189.0
Pröpper,Brighton,Midfielder,0.0,1.9148936170212765,4.7,1.926430904624777,9.054225251736453,-3.747580870668173,190.0
Stephens,Burnley,Midfielder,0.0,1.9047619047619047,4.2,1.8579739116658367,7.803490428996515,-3.7997277574299364,191.0
Grosicki,West Brom,Midfielder,0.0,1.5384615384615383,5.2,1.879289989304121,9.77230794438143,-3.821124851643499,192.0
Kamara,Fulham,Midfielder,0.0,1.6666666666666667,4.8,1.7737909563627359,8.514196590541133,-3.836112360148492,193.0
Elanga,Man Utd,Midfielder,0.7,0.4444444444444444,4.5,0.4313619927404207,1.9411289673318932,-4.007043938209037,194.0
Kebano,Fulham,Midfielder,0.0,1.276595744680851,4.7,1.3841718970829602,6.505607916289913,-4.021052164471774,195.0
Smallbone,Southampton,Midfielder,0.0,1.1627906976744187,4.3,1.193721351303692,5.133001810605875,-4.10607956223026,196.0
Edwards,West Brom,Midfielder,0.0,1.0869565217391306,4.6,1.1164103498098166,5.135487609125156,-4.1265113119000105,197.0
