web_name,team,position,value,projection,now_cost,total_rank,form
Fred,Man Utd,Midfielder,11.320754716981133,61.560793126107754,5.3,72.0,3.3
Schlupp,Crystal Palace,Midfielder,10.377358490566039,54.82011408793048,5.3,73.0,4.0
Pépé,Arsenal,Midfielder,9.210526315789474,74.15874919356615,7.6,74.0,3.0
Ndidi,Leicester,Midfielder,13.125,61.99780969860199,4.8,75.0,1.7
Fabinho,Liverpool,Midfielder,10.555555555555555,59.8622896848999,5.4,76.0,3.3
Moutinho,Wolves,Midfielder,12.745098039215687,67.48024628566664,5.1,77.0,1.3
Doucouré,Everton,Midfielder,13.92156862745098,73.67393462931793,5.1,78.0,0.0
Murphy,Newcastle,Midfielder,10.612244897959183,49.770495538917814,4.9,79.0,4.0
Bale,Spurs,Midfielder,7.582417582417583,83.78521249234979,9.1,80.0,2.8
Shelvey,Newcastle,Midfielder,10.943396226415095,59.93809930170552,5.3,81.0,2.7
Xhaka,Arsenal,Midfielder,11.923076923076923,63.48546529630695,5.2,82.0,1.7
March,Brighton,Midfielder,14.081632653061224,66.9207757573461,4.9,83.0,0.0
Douglas Luiz,Aston Villa,Midfielder,12.708333333333334,59.88409132200272,4.8,84.0,1.3
Loftus-Cheek,Fulham,Midfielder,10.677966101694915,65.41798788558539,5.9,85.0,2.0
Milivojevic,Crystal Palace,Midfielder,10.178571428571429,67.90865557555175,5.6,86.0,2.0
Riedewald,Crystal Palace,Midfielder,12.954545454545453,54.598738924680475,4.4,87.0,1.5
Lemina,Fulham,Midfielder,11.333333333333334,48.18931499195242,4.5,88.0,3.0
Brownhill,Burnley,Midfielder,11.83673469387755,59.01317145238824,4.9,89.0,1.7
Albrighton,Leicester,Midfielder,10.961538461538462,57.84514487538608,5.2,90.0,2.3
Torres,Man City,Midfielder,8.98550724637681,64.8601503506518,6.9,91.0,2.7
Phillips,Leeds,Midfielder,11.224489795918366,57.37862792134859,4.9,92.0,2.0
Fleck,Sheffield Utd,Midfielder,10.0,63.118730159308605,5.6,93.0,2.0
Costa,Leeds,Midfielder,12.0,56.30107823653507,5.0,94.0,1.3
Lallana,Brighton,Midfielder,8.548387096774194,70.00280015764649,6.2,95.0,2.0
Iwobi,Everton,Midfielder,10.338983050847457,68.33094850380074,5.9,96.0,1.0
Barkley,Aston Villa,Midfielder,11.03448275862069,66.78548413144094,5.8,97.0,0.7
Hudson-Odoi,Chelsea,Midfielder,10.0,58.241296067336926,5.7,98.0,2.0
Osborn,Sheffield Utd,Midfielder,7.872340425531915,37.8358941581418,4.7,99.0,4.7
Gallagher,West Brom,Midfielder,11.272727272727273,64.15026569163187,5.5,100.0,0.3
Willock,Newcastle,Midfielder,8.72340425531915,37.97909267999057,4.7,101.0,4.0
Kanté,Chelsea,Midfielder,11.428571428571427,55.35938614408553,4.9,102.0,0.3
Willian,Arsenal,Midfielder,8.533333333333333,71.93546762949066,7.5,103.0,0.3
Kovacic,Chelsea,Midfielder,9.81132075471698,54.95805389837325,5.3,104.0,1.0
Smith Rowe,Arsenal,Midfielder,11.428571428571429,44.92640746873909,4.2,105.0,0.7
Ziyech,Chelsea,Midfielder,6.962025316455696,63.65140447972026,7.9,106.0,1.7
Henderson,Liverpool,Midfielder,10.37037037037037,59.09001144015888,5.4,107.0,0.0
Hendrick,Newcastle,Midfielder,11.11111111111111,47.89971057624911,4.5,108.0,0.3
Partey,Arsenal,Midfielder,7.551020408163264,40.891571518126874,4.9,109.0,3.0
Oriol Romeu,Southampton,Midfielder,11.333333333333334,48.75127922909453,4.5,110.0,0.0
Gudmundsson,Burnley,Midfielder,8.333333333333332,45.673170389001896,5.4,111.0,2.0
Norwood,Sheffield Utd,Midfielder,9.11111111111111,40.31913919873112,4.5,112.0,2.0
Lundstram,Sheffield Utd,Midfielder,9.387755102040815,49.20953444329024,4.9,113.0,1.0
Burke,Sheffield Utd,Midfielder,10.24390243902439,37.665270206942914,4.1,114.0,1.3
Benrahma,West Ham,Midfielder,8.305084745762711,53.45011975549129,5.9,115.0,1.0
Milner,Liverpool,Midfielder,7.9245283018867925,43.69459798465118,5.3,116.0,2.0
Ritchie,Newcastle,Midfielder,5.5102040816326525,26.735732876611433,4.9,117.0,4.7
Davies,Everton,Midfielder,7.692307692307692,41.76765287751382,5.2,118.0,2.0
Pérez,Leicester,Midfielder,8.0,49.908290236439306,6.0,119.0,1.0
Roberts,Leeds,Midfielder,7.82608695652174,35.11633359220833,4.6,120.0,2.3
Sissoko,Spurs,Midfielder,9.148936170212766,42.83075505489396,4.7,121.0,0.5
Sean Longstaff,Newcastle,Midfielder,6.739130434782609,30.5358932556615,4.6,122.0,3.0
Mac Allister,Brighton,Midfielder,7.9245283018867925,40.88245535622339,5.3,123.0,1.3
Jones,Liverpool,Midfielder,9.772727272727272,40.53288066764564,4.4,124.0,0.0
Djenepo,Southampton,Midfielder,7.962962962962963,44.488093667874864,5.4,125.0,0.7
McArthur,Crystal Palace,Midfielder,8.653846153846153,47.45767929038171,5.2,126.0,0.0
Brady,Burnley,Midfielder,8.8,42.732124697305935,5.0,127.0,0.0
Mendy,Leicester,Midfielder,9.047619047619047,35.0790657118638,4.2,128.0,0.3
Thiago,Liverpool,Midfielder,6.0,35.847363595356995,5.5,129.0,2.0
Elneny,Arsenal,Midfielder,7.857142857142857,31.17452239762136,4.2,130.0,1.3
Hayden,Newcastle,Midfielder,8.695652173913045,40.203247179982036,4.6,131.0,0.0
André Gomes,Everton,Midfielder,7.547169811320755,43.548502251986726,5.3,132.0,0.3
Praet,Leicester,Midfielder,7.115384615384615,36.82781181803755,5.2,133.0,0.7
Yokuslu,West Brom,Midfielder,5.333333333333333,22.311530148120532,4.5,134.0,3.0
Martinelli,Arsenal,Midfielder,4.285714285714286,19.9279890075819,4.9,135.0,3.7
Fraser,Newcastle,Midfielder,6.964285714285714,43.316698325149574,5.6,136.0,0.0
Bergwijn,Spurs,Midfielder,5.857142857142857,46.945311696772826,7.0,137.0,0.2
Minamino,Southampton,Midfielder,6.833333333333333,42.331903690876814,6.0,138.0,0.0
Diallo,Southampton,Midfielder,5.777777777777778,25.079986857055136,4.5,139.0,1.7
Noble,West Ham,Midfielder,5.333333333333333,24.062116930166287,4.5,140.0,2.0
Sawyers,West Brom,Midfielder,7.173913043478262,32.996155302981514,4.6,141.0,0.0
Allan,Everton,Midfielder,5.961538461538462,32.48407939891899,5.2,142.0,0.7
Diangana,West Brom,Midfielder,6.8,34.259148731217536,5.0,143.0,0.0
James,Man Utd,Midfielder,5.64516129032258,38.69208050557946,6.2,144.0,0.3
Lo Celso,Spurs,Midfielder,3.913043478260869,37.984089246153914,6.9,145.0,1.2
Matic,Man Utd,Midfielder,6.382978723404255,29.91959186708964,4.7,146.0,0.3
Alzate,Brighton,Midfielder,6.904761904761904,28.264791229494985,4.2,147.0,0.0
Berge,Sheffield Utd,Midfielder,5.918367346938775,29.939536955192644,4.9,148.0,0.0
Lamela,Spurs,Midfielder,4.56140350877193,26.745246297384607,5.7,149.0,1.0
van de Beek,Man Utd,Midfielder,3.484848484848485,24.472581089086734,6.6,150.0,1.7
Nakamba,Aston Villa,Midfielder,4.651162790697675,19.04648614985121,4.3,151.0,1.3
Cairney,Fulham,Midfielder,5.1923076923076925,28.453563844975456,5.2,152.0,0.0
Ramsey,Aston Villa,Midfielder,4.666666666666667,20.026135878425848,4.5,153.0,1.0
Livermore,West Brom,Midfielder,5.106382978723404,24.14950456163015,4.7,154.0,0.3
Ødegaard,Arsenal,Midfielder,3.9655172413793105,24.798010293036803,5.8,155.0,0.7
Shaqiri,Liverpool,Midfielder,3.90625,28.81371220595172,6.4,156.0,0.3
Tella,Southampton,Midfielder,4.186046511627907,16.487133260141526,4.3,157.0,1.0
Lanzini,West Ham,Midfielder,3.75,27.168454693501815,6.4,158.0,0.3
McCarthy,Crystal Palace,Midfielder,4.4186046511627906,18.349881941183234,4.3,159.0,0.5
Vitinha,Wolves,Midfielder,3.829787234042553,16.20361240359902,4.7,160.0,0.7
Moder,Brighton,Midfielder,2.2,11.848169987166948,5.0,161.0,2.0
Cork,Burnley,Midfielder,3.8,20.46237287865235,5.0,162.0,0.3
Hernández,Leeds,Midfielder,3.6842105263157894,20.996825360624243,5.7,163.0,0.3
Jahanbakhsh,Brighton,Midfielder,3.148148148148148,16.826636284012867,5.4,164.0,0.7
Mata,Man Utd,Midfielder,3.4482758620689657,21.137934886551488,5.8,165.0,0.0
Hourihane,Aston Villa,Midfielder,3.389830508474576,20.833576645299523,5.9,166.0,0.0
Shackleton,Leeds,Midfielder,3.541666666666667,16.111522005645256,4.8,167.0,0.3
Bernard,Everton,Midfielder,3.1578947368421053,19.41928464853309,5.7,168.0,0.0
Krovinovic,West Brom,Midfielder,3.4693877551020407,16.903659742736902,4.9,169.0,0.0
Winks,Spurs,Midfielder,2.7450980392156863,14.454009492627083,5.1,170.0,0.2
Keita,Liverpool,Midfielder,2.8846153846153846,15.734937626123356,5.2,171.0,0.0
Ünder,Leicester,Midfielder,2.807017543859649,16.163320900042667,5.7,172.0,0.0
Yarmolenko,West Ham,Midfielder,2.909090909090909,14.448042149112423,5.5,173.0,0.0
Chamberlain,Liverpool,Midfielder,2.0634920634920637,15.887366904754893,6.3,174.0,0.3
Alli,Spurs,Midfielder,2.0270270270270268,17.247271399108843,7.4,175.0,0.2
Sanson,Aston Villa,Midfielder,1.8181818181818181,12.468035242385467,5.5,176.0,0.7
Snodgrass,West Brom,Midfielder,2.5,14.874468945494403,5.6,177.0,0.0
Poveda-Ocampo,Leeds,Midfielder,2.619047619047619,10.285282402664784,4.2,178.0,0.3
Choudhury,Leicester,Midfielder,2.8260869565217392,12.302198786136087,4.6,179.0,0.0
Benson,Burnley,Midfielder,2.2727272727272725,9.495651893678751,4.4,180.0,0.0
Matty Longstaff,Newcastle,Midfielder,2.0833333333333335,10.286365568539518,4.8,181.0,0.0
Pröpper,Brighton,Midfielder,1.9148936170212765,9.276208827414987,4.7,182.0,0.0
Onomah,Fulham,Midfielder,1.5217391304347827,7.0893838577095725,4.6,183.0,0.3
Stephens,Burnley,Midfielder,1.9047619047619047,7.7201705935771985,4.2,184.0,0.0
Kamara,Fulham,Midfielder,1.6666666666666667,8.283240328873406,4.8,185.0,0.0
Grosicki,West Brom,Midfielder,1.5384615384615383,8.719674301361538,5.2,186.0,0.0
Gibbs-White,Wolves,Midfielder,1.2244897959183672,6.121671659959765,4.9,187.0,0.3
Otasowie,Wolves,Midfielder,1.5555555555555556,6.989636475532877,4.5,188.0,0.0
Delph,Everton,Midfielder,1.25,6.351658620688668,4.8,189.0,0.0
Kebano,Fulham,Midfielder,1.276595744680851,5.832746039522759,4.7,190.0,0.0
Smallbone,Southampton,Midfielder,1.1627906976744187,5.1026509033561736,4.3,191.0,0.0
Edwards,West Brom,Midfielder,1.0638297872340425,5.23914176336859,4.7,192.0,0.0
Gordon,Everton,Midfielder,0.6976744186046512,2.958405711752787,4.3,193.0,0.0
Tavares,Leicester,Midfielder,0.6818181818181818,2.9656065916718086,4.4,194.0,0.0
Field,West Brom,Midfielder,0.625,3.039434797336687,4.8,195.0,0.0
Tau,Brighton,Midfielder,0.6122448979591836,3.097176076387336,4.9,196.0,0.0
Broadhead,Everton,Midfielder,0.2222222222222222,1.0096204957832842,4.5,197.0,0.3
Gbamin,Everton,Midfielder,0.2,0.9705167048619029,5.0,198.0,0.3
Harper,West Brom,Midfielder,0.46511627906976744,1.983297637447165,4.3,199.0,0.0
Gilmour,Chelsea,Midfielder,0.46511627906976744,1.9263709864210776,4.3,200.0,0.0
Watts,Southampton,Midfielder,0.4444444444444444,2.04850824458391,4.5,201.0,0.0
Nelson,Arsenal,Midfielder,0.3921568627450981,2.014962077498181,5.1,202.0,0.0
Felipe Anderson,West Ham,Midfielder,0.3278688524590164,2.300552708539375,6.1,203.0,0.0
Molumby,Brighton,Midfielder,0.2222222222222222,1.0117192691029888,4.5,204.5,0.0
Shoretire,Man Utd,Midfielder,0.2222222222222222,1.0117192691029888,4.5,204.5,0.0
Anderson,Newcastle,Midfielder,0.2222222222222222,1.0026670518561296,4.5,206.0,0.0
Leshabela,Leicester,Midfielder,0.22727272727272727,0.9628497970820539,4.4,207.0,0.0
Khadra,Brighton,Midfielder,0.2222222222222222,0.9970536299545999,4.5,208.0,0.0
Ndiaye,Sheffield Utd,Midfielder,0.2222222222222222,0.985781712952228,4.5,209.0,0.0
Gray,Leicester,Midfielder,0.19607843137254904,1.0551963262554742,5.1,210.0,0.0
Fernandes,Spurs,Midfielder,0.0,0.0,4.7,246.0,0.0
Skipp,Spurs,Midfielder,0.0,0.0,4.4,246.0,0.0
Chauke,Southampton,Midfielder,0.0,0.0,4.4,246.0,0.0
Corbeanu,Wolves,Midfielder,0.0,0.0,4.5,246.0,0.0
Leko,West Brom,Midfielder,0.0,0.0,4.5,246.0,0.0
Devine,Spurs,Midfielder,0.0,0.0,4.4,246.0,0.0
Shabani,Wolves,Midfielder,0.0,0.0,4.4,246.0,0.0
Ferry,Southampton,Midfielder,0.0,0.0,4.5,246.0,0.0
Finnigan,Southampton,Midfielder,0.0,0.0,4.5,246.0,0.0
Jordao,Wolves,Midfielder,0.0,0.0,4.3,246.0,0.0
Coventry,West Ham,Midfielder,0.0,0.0,4.5,246.0,0.0
Wilshere,West Ham,Midfielder,0.0,0.0,4.9,246.0,0.0
Özil,Arsenal,Midfielder,0.0,0.0,6.7,246.0,0.0
Boufal,Southampton,Midfielder,0.0,0.0,5.4,246.0,0.0
Seri,Fulham,Midfielder,0.0,0.0,4.6,246.0,0.0
Knockaert,Fulham,Midfielder,0.0,0.0,5.0,246.0,0.0
Johansen,Fulham,Midfielder,0.0,0.0,4.7,246.0,0.0
McDonald,Fulham,Midfielder,0.0,0.0,4.7,246.0,0.0
Price,Everton,Midfielder,0.0,0.0,4.5,246.0,0.0
Onyango,Everton,Midfielder,0.0,0.0,4.5,246.0,0.0
Rak-Sakyi,Crystal Palace,Midfielder,0.0,0.0,4.5,246.0,0.0
Pierrick,Crystal Palace,Midfielder,0.0,0.0,4.3,246.0,0.0
Meyer,Crystal Palace,Midfielder,0.0,0.0,4.7,246.0,0.0
Anjorin,Chelsea,Midfielder,0.0,0.0,4.5,246.0,0.0
Mancini,Burnley,Midfielder,0.0,0.0,4.4,246.0,0.0
Goodridge,Burnley,Midfielder,0.0,0.0,4.5,246.0,0.0
Silva,Leicester,Midfielder,0.0,0.0,4.4,246.0,0.0
Caicedo,Brighton,Midfielder,0.0,0.0,5.0,246.0,0.0
Sanders,Brighton,Midfielder,0.0,0.0,4.5,246.0,0.0
Jenks,Brighton,Midfielder,0.0,0.0,4.5,246.0,0.0
Izquierdo,Brighton,Midfielder,0.0,0.0,5.5,246.0,0.0
Mooy,Brighton,Midfielder,0.0,0.0,5.0,246.0,0.0
Philogene-Bidace,Aston Villa,Midfielder,0.0,0.0,4.5,246.0,0.0
Chukwuemeka,Aston Villa,Midfielder,0.0,0.0,4.5,246.0,0.0
Hayden,Aston Villa,Midfielder,0.0,0.0,4.5,246.0,0.0
Jota,Aston Villa,Midfielder,0.0,0.0,5.9,246.0,0.0
Lansbury,Aston Villa,Midfielder,0.0,0.0,4.3,246.0,0.0
Azeez,Arsenal,Midfielder,0.0,0.0,4.5,246.0,0.0
Guendouzi,Arsenal,Midfielder,0.0,0.0,4.7,246.0,0.0
Torreira,Arsenal,Midfielder,0.0,0.0,4.7,246.0,0.0
Weir,Brighton,Midfielder,0.0,0.0,4.5,246.0,0.0
Sims,Southampton,Midfielder,0.0,0.0,4.3,246.0,0.0
James,Leicester,Midfielder,0.0,0.0,4.3,246.0,0.0
Suengchitthawon,Leicester,Midfielder,0.0,0.0,4.5,246.0,0.0
Maguire,Sheffield Utd,Midfielder,0.0,0.0,4.4,246.0,0.0
Brunt,Sheffield Utd,Midfielder,0.0,0.0,4.5,246.0,0.0
Freeman,Sheffield Utd,Midfielder,0.0,0.0,5.0,246.0,0.0
Aarons,Newcastle,Midfielder,0.0,0.0,4.8,246.0,0.0
Atsu,Newcastle,Midfielder,0.0,0.0,5.2,246.0,0.0
Diallo,Man Utd,Midfielder,0.0,0.0,5.4,246.0,0.0
Pellistri,Man Utd,Midfielder,0.0,0.0,5.2,246.0,0.0
Garner,Man Utd,Midfielder,0.0,0.0,4.4,246.0,0.0
Chong,Man Utd,Midfielder,0.0,0.0,4.4,246.0,0.0
Pereira,Man Utd,Midfielder,0.0,0.0,4.8,246.0,0.0
Gomes,Man City,Midfielder,0.0,0.0,4.5,246.0,0.0
Flynn,Leicester,Midfielder,0.0,0.0,4.5,246.0,0.0
Nmecha,Man City,Midfielder,0.0,0.0,4.5,246.0,0.0
Bernabé,Man City,Midfielder,0.0,0.0,4.5,246.0,0.0
Doyle,Man City,Midfielder,0.0,0.0,4.4,246.0,0.0
Cain,Liverpool,Midfielder,0.0,0.0,4.5,246.0,0.0
Clarkson,Liverpool,Midfielder,0.0,0.0,4.5,246.0,0.0
Elliott,Liverpool,Midfielder,0.0,0.0,4.3,246.0,0.0
Harry Wilson,Liverpool,Midfielder,0.0,0.0,5.1,246.0,0.0
Jenkins,Leeds,Midfielder,0.0,0.0,4.5,246.0,0.0
Perry,Wolves,Midfielder,0.0,0.0,4.4,246.0,0.0
Bogusz,Leeds,Midfielder,0.0,0.0,4.3,246.0,0.0
Stevens,Leeds,Midfielder,0.0,0.0,4.3,246.0,0.0
Grot,Leeds,Midfielder,0.0,0.0,4.7,246.0,0.0
Forshaw,Leeds,Midfielder,0.0,0.0,4.8,246.0,0.0
Palmer,Man City,Midfielder,0.0,0.0,4.4,246.0,0.0
Cundle,Wolves,Midfielder,0.0,0.0,4.5,246.0,0.0
Jankewitz,Southampton,Midfielder,-0.2222222222222222,-0.9200614754098345,4.5,282.0,0.0
